condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
generic,claude_sonnet,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.010794186069645585,1.5495779518238775,4.0925406239331874e-43,464.2583711231118
generic,claude_sonnet,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.014,-0.4945,1.1024143209079609e-15,-31.39
generic,claude_sonnet,voice_first_person_density,Register,Biber 1988,0.0875,0.0763,-0.8002,5.106884776508746e-31,-12.85
generic,claude_sonnet,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.08,0.5665,8.707410606817961e-18,13.6
generic,gemini_31_pro,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.5712953190391964,-2.3223937103849113,6.144866877758197e-51,-14.90325066259333
generic,gemini_31_pro,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.41414335449976675,-1.664604799171324,3.757760774831037e-49,-12.11947688190733
generic,gemini_31_pro,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2691.2999885429326,2.449243101666789,7.000129857154234e-51,47.14293289669161
generic,gemini_31_pro,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,121.1634,1.9634,7.433876261066539e-51,74.41
generic,gemini_31_pro,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.47795412508941,2.1224084498731504,6.083559849691437e-51,12.022480897718863
generic,gemini_31_pro,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.159787942209825,1.7324586827995347,6.083559849691437e-51,4.119229135193218
generic,gemini_31_pro,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,102.00897076389636,-1.210252133123688,4.8339914266648626e-48,-25.6352191796551
generic,gemini_31_pro,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,17.412357869678615,0.4691260049721508,4.412886481025637e-14,9.593113787876284
generic,gemini_31_pro,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.05444859004922913,1.475455352555239,6.169056578916455e-41,69.4898510194572
generic,gemini_31_pro,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.007412741432580082,1.0195074164158744,8.09778605529264e-31,287.4957666392879
generic,gemini_31_pro,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.009,-0.794,7.579665307853729e-30,-55.86
generic,gemini_31_pro,voice_first_person_density,Register,Biber 1988,0.0875,0.0795,-0.5718,3.86319597833756e-21,-9.19
